KEY;EN;RU;ES;PT;BR
BackButton;Back;Назад;Atrás;Atrás;Voltar
ConfirmButton;Confirm;Принять;Adoptar;Aceitar;Aceitar
DoneButton;Done;Готово;Listo;Feito;Feito
CloseButton;Close;Закрыть;Cerrar;Fechar;Para fechar
Yes;Yes;Да;Sí;Sim;Sim
No;No;Нет;No hay;Não;No
RefreshButton;Refresh;Обновить;Renovar;Renovar;Atualização
ExitButton;Exit;Выйти;Salir;Sair;Saída
Info.TitleText;Detailed information;Подробная информация;Información detallada;Informações pormenorizadas;Informações detalhadas
Info.NoInfo;So far, it's empty (×_×) ;Пока здесь пусто (×_×) ;Hasta ahora, aquí está vacío (×_×) ;Até agora, está vazio (×_×) ;Até o momento, está vazio (×_×) 
MainMenu.SingleplayerButton;Singleplayer;Одиночная игра;Juego de un solo jugador;Single player;Jogo Single Player
MainMenu.CreateRoomButton;Create a room;Создать комнату;Crear una habitación;Criar uma sala;Crie uma sala
MainMenu.RoomsListButton;List of rooms;Список комнат;Lista de habitaciones;Lista de quartos;Lista de quartos
MainMenu.SettingButton;Settings;Настройки;Ajustes;Sintonização;Configurações
MainMenu.ExitButton;Quit the game;Выйти из игры;Alzarse;Sair do jogo;Sair do jogo
MainMenu.ModsListButton;Modifications;Модификации;Modificación;Modificação;Modificações
MainMenu.Account.LoginButton;Log in;Войти в аккаунт;Iniciar sesión;Entrar na sua conta;Faça login na sua conta
MainMenu.Account.SiteButton;Website;Сайт игры;Sitio del juego;Site do jogo;O site do jogo
MainMenu.Account.WarningToLoginText;Log in to create mods;Войдите в аккаунт, чтобы создавать моды :);Inicia sesión para crear mods;Faça login para criar mods;Faça login para criar mods
MainMenu.Account.CreateModButton;Create mod;Создать мод;Crear mod;Criar um mod;Crie um mod
MainMenu.Account.MyAccountButton;My profile;Мой профиль;Mi perfil;Meu perfil;Meu perfil
MainMenu.Account.MyAccount;My account;Мой аккаунт;Mi cuenta;A minha conta;Minha conta
MainMenu.Account.MyMods;My Mods;Мои модификации;Mis modificaciones;Minhas modificações;Minhas modificações
MainMenu.Account.Premium;Premium:;Премиум:;Premium:;Premium:;Premium:
MainMenu.Account.Notifications;Notifications;Уведомления;Notificación;Notificação;Notificações
MainMenu.Account.MyUnratedMods;My Unrated Mods;Мои модификации на рассмотрении;Mis Mods Sin Calificación;Meus Mods Sem Classificação;My Unrated Mods
MainMenu.Account.Email;Email:;Почта:;Correo:;Correio:;Mail:
MainMenu.Account.BanState;Not blocked;Не заблокирован;No bloqueado;Não Bloqueado;Não Bloqueado
MainMenu.Account.Role.Player;Player;Игрок;Jugador;Jogador;Jogador
MainMenu.Account.Role.ContentMaker;Content-Maker;Контент-Мейкер;Creador De Contenido;Criador De Conteúdo;Criador De Conteúdo
MainMenu.Account.Role.Moderator;Moderator;Модератор;Moderador;Moderador;Moderador
MainMenu.Account.Role.Admin;Administrator;Администратор;Administrador;Administrador;Administrador
MainMenu.Account.Role.Exp;EXP;опыта;EXP;EXP;EXP
MainMenu.Account.Role.Level;level;уровень;nivel;nível;nível
MainMenu.SingleMode.CountriesText;Countries;Страны;Países;País;Países
MainMenu.SingleMode.DifficultyText;Difficulty;Сложность;Dificultad;Dificuldades;Dificuldade
MainMenu.SingleMode.Difficulty.Choice.Easy;Easy;Легкая;Vida fácil;Fácil;Fácil
MainMenu.SingleMode.Difficulty.Choice.Normal;Normal;Нормальная;Normal;Normal;Normal
MainMenu.SingleMode.Difficulty.Choice.Hard;Hard;Сложная;Compleja;Complexo;Difícil
MainMenu.SingleMode.Difficulty.Choice.Insane;Insane;Безумная;Loca;Insano;Louco
MainMenu.SingleMode.Difficulty.Choice.Hardcore;Hardcore;Невыносимая;Insoportable;Insuportável;Insuportável
MainMenu.SingleMode.ScenarioText;Scenario;Сценарий;Guión;Cenário;O roteiro
MainMenu.SingleMode.PlayButton;Start;Играть;Jugar;Jogar;Play
MainMenu.SingleMode.SelectMode;Mode Selection;Выбор режима;Selección de modo;Seleccionar o modo;Seleção De Modo
MainMenu.SingleMode.MySaves;My saves;Сохранения;Conservación;Conservação;Poupança
MainMenu.SingleMode.SelectMode.SelectText;Select mode;Выбрать режим;Seleccionar modo;Escolha o modo;Selecione um modo
MainMenu.SingleMode.SelectMode.Historic;Historical mode;Исторический режим;Régimen histórico;Modo histórico;Modo histórico
MainMenu.SingleMode.SelectMode.NonHistoric;Alternative mode;Альтернативный режим;Modo alternativo;Modo alternativo;Modo alternativo
MainMenu.SingleMode.SelectMode.Tournament;Tournament mode;Турнирный режим;Modo torneo;Modo torneio;Modo torneio
MainMenu.SingleMode.SelectMode.Missions;Missions;Миссии;Misión;Missão;Missões
MainMenu.CreateRoom.NameText;Room Name:;Имя комнаты:;Nombre de la habitación:;Nome do quarto:;Nome Do Quarto:
MainMenu.CreateRoom.NamePlaceHolder;Enter a name...;Введите имя...;Introduzca un nombre...;Digite um nome...;Digite um nome...
MainMenu.CreateRoom.CreateButton;Create;Создать;Crear;Criar;Para criar
MainMenu.RoomsListText;Rooms;Комнаты;Habitación;Casa;Quartos
MainMenu.VKButton;VK Group;Группа в ВК;Grupo VK;Grupo VK;Grupo VK
MainMenu.DiscordButton;Discord;Discord;Discord;Discord;Discord
MainMenu.YoutubeButton;Youtube;Youtube;Youtube;Youtube;Youtube
MainMenu.TelegramButton;Telegram;Телеграм;Telegram;Telegram;Telegram
MainMenu.Settings.Design1;Design 1;Дизайн 1;Design 1;Design 1;Design 1
MainMenu.Settings.Design2;Design 2;Дизайн 2;Design 2;Design 2;Design 2
MainMenu.Settings.Design3;Design 3;Дизайн 3;Design 3;Design 3;Design 3
MainMenu.Settings.UI;UI;Интерфейс;;;
MainMenu.Settings.VolumeText;Music Volume;Громкость музыки;;;
MainMenu.Settings.Language;Language;Язык;Idioma;Língua;Língua
MainMenu.Settings.Language.English;English language;English language;English language;English language;English language
MainMenu.Settings.Language.Russian;Русский язык;Русский язык;Русский язык;Русский язык;Русский язык
MainMenu.Settings.Language.Espaniol;Español;Español;Español;Español;Español
